petName,enemyId,templateId,initNum,lvupPointSource,lvupPointEffective,baseVital,baseStr,baseTough,baseDex,get,poisonResist,paralysisResist,sleepResist,stoneResist,drunkResist,confusionResist,critical,counter,rare,lvMin,lvMax,enemyExp,hpMin,hpMax,attackMin,attackMax,defenseMin,defenseMax,agilityMin,agilityMax,rawVitalMin,rawVitalMax,rawStrMin,rawStrMax,rawToughMin,rawToughMax,rawDexMin,rawDexMax,growVitalMin,growVitalMax,growStrMin,growStrMax,growToughMin,growToughMax,growDexMin,growDexMax,rank,baseSum,earth,water,fire,wind,skill1,skill2,skill3,skill4,skill5,skill6,skill7,limitLevel,imageId
乌卡鲁,388,33,17,4.5,4,23,19,11,26,11,0,0,0,0,0,0,0,1,0,1,2,-1,24,42,3,7,2,6,4,7,357,735,289,651,153,483,408,798,115,210,93,186,49,138,132,228,5,79,30,70,0,0,1,2,-1,-1,-1,-1,-1,-1,100265
乌卡鲁,389,33,17,4.5,4,23,19,11,26,11,0,0,0,0,0,0,0,1,0,2,4,-1,30,58,4,10,3,8,5,11,441,1015,357,899,189,667,504,1102,115,210,93,186,49,138,132,228,5,79,30,70,0,0,1,2,-1,-1,-1,-1,-1,-1,100265
乌卡鲁,390,33,17,4.5,4,23,19,11,26,11,0,0,0,0,0,0,0,1,0,3,5,-1,36,66,5,11,3,9,6,12,525,1155,425,1023,225,759,600,1254,115,210,93,186,49,138,132,228,5,79,30,70,0,0,1,2,-1,-1,-1,-1,-1,-1,100265
尼可斯,391,62,18,4.5,4,24,20,20,17,9,0,0,0,0,0,0,0,3,0,1,2,-1,26,45,4,8,4,8,2,6,396,792,324,704,324,704,270,638,116,208,95,185,95,185,79,168,4,81,40,60,0,0,1,2,-1,-1,-1,-1,-1,-1,100276
尼可斯,392,62,18,4.5,4,24,20,20,17,9,0,0,0,0,0,0,0,3,0,3,5,-1,38,70,6,12,6,12,3,9,572,1224,468,1088,468,1088,390,986,116,208,95,185,95,185,79,168,4,81,40,60,0,0,1,2,-1,-1,-1,-1,-1,-1,100276
尼可斯,393,62,18,4.5,4,24,20,20,17,9,0,0,0,0,0,0,0,3,0,4,6,-1,44,78,6,14,6,14,4,11,660,1368,540,1216,540,1216,450,1102,116,208,95,185,95,185,79,168,4,81,40,60,0,0,1,2,-1,-1,-1,-1,-1,-1,100276
克邦凯斯,394,221,18,4.5,4,27,27,16,14,9,0,0,0,0,0,0,5,0,0,1,2,-1,28,48,5,9,3,7,2,5,450,858,450,858,252,616,216,572,132,226,132,226,74,162,63,150,4,84,40,60,0,0,1,-1,-1,-1,-1,-1,-1,-1,100339
克邦凯斯,395,221,18,4.5,4,27,27,16,14,9,0,0,0,0,0,0,5,0,0,2,3,-1,35,56,6,11,4,8,2,6,550,1014,550,1014,308,728,264,676,132,226,132,226,74,162,63,150,4,84,40,60,0,0,1,-1,-1,-1,-1,-1,-1,-1,100339
邦恩吉,396,224,16,4.5,4,28,26,15,14,9,0,0,0,0,20,0,5,0,0,1,1,-1,26,35,4,6,3,5,1,4,416,640,384,608,208,432,192,416,137,232,127,220,68,156,63,150,4,83,20,80,0,0,1,100,-1,-1,-1,-1,-1,-1,100342
克克洛斯,398,292,20,4.5,4,18,22,10,35,7,0,0,0,0,0,0,5,2,0,1,1,-1,27,38,4,7,2,5,6,9,320,600,400,680,160,440,660,940,81,168,102,190,40,123,168,263,3,85,0,0,0,100,1,120,-1,-1,-1,-1,-1,-1,100368
克克洛斯,399,292,20,4.5,4,18,22,10,35,7,0,0,0,0,0,0,5,2,0,10,13,-1,75,131,13,26,7,19,18,31,896,2040,1120,2312,448,1496,1848,3196,81,168,102,190,40,123,168,263,3,85,0,0,0,100,1,120,-1,-1,-1,-1,-1,-1,100368
克克洛斯,400,292,20,4.5,4,18,22,10,35,7,0,0,0,0,0,0,5,2,0,12,15,-1,86,146,15,29,8,21,21,35,1024,2280,1280,2584,512,1672,2112,3572,81,168,102,190,40,123,168,263,3,85,0,0,0,100,1,120,-1,-1,-1,-1,-1,-1,100368
克克洛斯,401,292,20,4.5,4,18,22,10,35,7,0,0,0,0,0,0,5,2,0,14,16,-1,97,154,17,31,9,22,23,37,1152,2400,1440,2720,576,1760,2376,3760,81,168,102,190,40,123,168,263,3,85,0,0,0,100,1,120,-1,-1,-1,-1,-1,-1,100368
霍尔克,402,293,18,4.5,4,21,20,14,40,9,0,0,0,0,0,0,3,1,0,1,1,-1,27,38,4,6,3,5,6,9,342,594,324,576,216,468,684,936,89,171,84,166,56,135,178,270,1,95,30,0,0,70,1,-1,-1,-1,-1,-1,-1,-1,100369
霍尔克,403,293,18,4.5,4,21,20,14,40,9,0,0,0,0,0,0,3,1,0,10,13,-1,83,139,12,25,9,21,20,34,1026,2178,972,2112,648,1716,2052,3432,89,171,84,166,56,135,178,270,1,95,30,0,0,70,1,-1,-1,-1,-1,-1,-1,-1,100369
霍尔克,404,293,18,4.5,4,21,20,14,40,9,0,0,0,0,0,0,3,1,0,12,15,-1,95,156,14,28,11,24,23,38,1178,2442,1116,2368,744,1924,2356,3848,89,171,84,166,56,135,178,270,1,95,30,0,0,70,1,-1,-1,-1,-1,-1,-1,-1,100369
霍尔克,405,293,18,4.5,4,21,20,14,40,9,0,0,0,0,0,0,3,1,0,14,16,-1,107,165,16,29,12,25,26,40,1330,2574,1260,2496,840,2028,2660,4056,89,171,84,166,56,135,178,270,1,95,30,0,0,70,1,-1,-1,-1,-1,-1,-1,-1,100369
卡克尔,406,181,18,4.5,4,20,21,21,24,7,0,0,0,0,0,0,0,1,0,1,1,-1,25,36,4,6,4,6,3,6,324,576,342,594,342,594,396,648,91,179,96,184,96,184,112,201,3,86,30,70,0,0,1,2,-1,-1,-1,-1,-1,-1,100323
卡克尔,407,181,18,4.5,4,20,21,21,24,7,0,0,0,0,0,0,0,1,0,12,15,-1,88,148,15,28,15,28,13,26,1116,2368,1178,2442,1178,2442,1364,2664,91,179,96,184,96,184,112,201,3,86,30,70,0,0,1,2,-1,-1,-1,-1,-1,-1,100323
卡克尔,408,181,18,4.5,4,20,21,21,24,7,0,0,0,0,0,0,0,1,0,14,17,-1,99,164,17,31,17,31,15,29,1260,2624,1330,2706,1330,2706,1540,2952,91,179,96,184,96,184,112,201,3,86,30,70,0,0,1,2,-1,-1,-1,-1,-1,-1,100323
卡克尔,409,181,18,4.5,4,20,21,21,24,7,0,0,0,0,0,0,0,1,0,16,18,-1,110,172,18,33,18,33,17,30,1404,2752,1482,2838,1482,2838,1716,3096,91,179,96,184,96,184,112,201,3,86,30,70,0,0,1,2,-1,-1,-1,-1,-1,-1,100323
巴克,410,182,20,4.5,4,17,26,19,27,7,0,0,0,0,0,0,0,1,0,1,1,-1,27,38,5,8,4,7,5,7,300,580,480,760,340,620,500,780,76,162,122,212,86,173,127,218,3,89,0,0,40,60,1,2,-1,-1,-1,-1,-1,-1,100324
巴克,411,182,20,4.5,4,17,26,19,27,7,0,0,0,0,0,0,0,1,0,11,14,-1,81,139,17,31,13,26,15,28,900,2088,1440,2736,1020,2232,1500,2808,76,162,122,212,86,173,127,218,3,89,0,0,40,60,1,2,-1,-1,-1,-1,-1,-1,100324
巴克,412,182,20,4.5,4,17,26,19,27,7,0,0,0,0,0,0,0,1,0,13,16,-1,92,155,19,34,15,29,17,31,1020,2320,1632,3040,1156,2480,1700,3120,76,162,122,212,86,173,127,218,3,89,0,0,40,60,1,2,-1,-1,-1,-1,-1,-1,100324
巴克,413,182,20,4.5,4,17,26,19,27,7,0,0,0,0,0,0,0,1,0,15,18,-1,103,170,22,38,17,32,19,34,1140,2552,1824,3344,1292,2728,1900,3432,76,162,122,212,86,173,127,218,3,89,0,0,40,60,1,2,-1,-1,-1,-1,-1,-1,100324
贝鲁卡,414,191,24,4.5,4,23,28,16,25,5,0,0,0,0,0,0,3,3,0,1,1,-1,37,51,7,10,4,8,5,8,504,840,624,960,336,672,552,888,102,189,127,216,68,151,112,199,2,92,60,40,0,0,1,2,-1,-1,-1,-1,-1,-1,100327
贝鲁卡,415,191,24,4.5,4,23,28,16,25,5,0,0,0,0,0,0,3,3,0,14,16,-1,119,180,23,38,15,29,17,31,1596,2940,1976,3360,1064,2352,1748,3108,102,189,127,216,68,151,112,199,2,92,60,40,0,0,1,2,-1,-1,-1,-1,-1,-1,100327
贝鲁卡,416,191,24,4.5,4,23,28,16,25,5,0,0,0,0,0,0,3,3,0,16,18,-1,131,197,26,41,17,32,19,34,1764,3220,2184,3680,1176,2576,1932,3404,102,189,127,216,68,151,112,199,2,92,60,40,0,0,1,2,-1,-1,-1,-1,-1,-1,100327
贝鲁卡,417,191,24,4.5,4,23,28,16,25,5,0,0,0,0,0,0,3,3,0,18,20,-1,144,215,28,45,18,34,21,37,1932,3500,2392,4000,1288,2800,2116,3700,102,189,127,216,68,151,112,199,2,92,60,40,0,0,1,2,-1,-1,-1,-1,-1,-1,100327
贝鲁伊卡,418,192,23,4.5,4,21,30,13,28,5,0,0,0,0,0,0,3,3,0,1,1,-1,34,48,7,10,4,7,5,9,437,759,644,966,253,575,598,920,93,178,137,226,53,135,127,216,2,92,0,0,30,70,1,2,-1,-1,-1,-1,-1,-1,100328
贝鲁伊卡,419,192,23,4.5,4,21,30,13,28,5,0,0,0,0,0,0,3,3,0,14,16,-1,113,173,24,39,13,26,19,33,1425,2739,2100,3486,825,2075,1950,3320,93,178,137,226,53,135,127,216,2,92,0,0,30,70,1,2,-1,-1,-1,-1,-1,-1,100328
贝鲁伊卡,420,192,23,4.5,4,21,30,13,28,5,0,0,0,0,0,0,3,3,0,16,18,-1,125,190,27,43,14,29,21,36,1577,3003,2324,3822,913,2275,2158,3640,93,178,137,226,53,135,127,216,2,92,0,0,30,70,1,2,-1,-1,-1,-1,-1,-1,100328
贝鲁伊卡,421,192,23,4.5,4,21,30,13,28,5,0,0,0,0,0,0,3,3,0,18,20,-1,137,206,29,46,15,31,23,39,1729,3267,2548,4158,1001,2475,2366,3960,93,178,137,226,53,135,127,216,2,92,0,0,30,70,1,2,-1,-1,-1,-1,-1,-1,100328
克邦凯斯,422,221,18,4.5,4,27,27,16,14,9,0,0,0,0,0,0,5,0,0,15,17,-1,119,179,22,36,14,28,8,21,1850,3198,1850,3198,1036,2296,888,2132,132,226,132,226,74,162,63,150,4,84,40,60,0,0,1,-1,-1,-1,-1,-1,-1,-1,100339
克邦凯斯,423,221,18,4.5,4,27,27,16,14,9,0,0,0,0,0,0,5,0,0,16,18,-1,125,188,23,38,15,29,9,22,1950,3354,1950,3354,1092,2408,936,2236,132,226,132,226,74,162,63,150,4,84,40,60,0,0,1,-1,-1,-1,-1,-1,-1,-1,100339
克邦凯斯,424,221,18,4.5,4,27,27,16,14,9,0,0,0,0,0,0,5,0,0,18,20,-1,138,205,25,41,17,32,10,24,2150,3666,2150,3666,1204,2632,1032,2444,132,226,132,226,74,162,63,150,4,84,40,60,0,0,1,-1,-1,-1,-1,-1,-1,-1,100339
邦恩吉,425,224,16,4.5,4,28,26,15,14,9,0,0,0,0,20,0,5,0,0,15,17,-1,117,176,20,34,13,26,8,20,1872,3200,1728,3040,936,2160,864,2080,137,232,127,220,68,156,63,150,4,83,20,80,0,0,1,100,-1,-1,-1,-1,-1,-1,100342
邦恩吉,426,224,16,4.5,4,28,26,15,14,9,0,0,0,0,20,0,5,0,0,16,18,-1,123,185,22,36,14,28,9,21,1976,3360,1824,3192,988,2268,912,2184,137,232,127,220,68,156,63,150,4,83,20,80,0,0,1,100,-1,-1,-1,-1,-1,-1,100342
邦恩吉,427,224,16,4.5,4,28,26,15,14,9,0,0,0,0,20,0,5,0,0,18,20,-1,136,203,24,40,16,30,10,23,2184,3680,2016,3496,1092,2484,1008,2392,137,232,127,220,68,156,63,150,4,83,20,80,0,0,1,100,-1,-1,-1,-1,-1,-1,100342
克雷尔,428,101,19,4.5,4,19,18,20,22,11,0,0,0,0,0,0,0,1,0,10,12,-1,72,119,11,22,12,23,11,21,935,1953,880,1890,990,2016,1100,2142,93,186,88,180,99,192,110,204,5,79,60,40,0,0,1,2,-1,-1,-1,-1,-1,-1,100291
克洛尔,429,103,18,4.5,4,18,20,18,24,9,0,0,0,0,0,0,0,1,0,10,12,-1,70,116,12,23,11,22,11,22,864,1860,972,1984,864,1860,1188,2232,84,174,95,185,84,174,116,208,4,80,0,40,60,0,1,2,-1,-1,-1,-1,-1,-1,100293
里斯基,430,104,17,4.5,4,19,16,19,23,11,0,0,0,0,0,0,0,1,0,10,12,-1,68,114,10,20,11,22,11,21,901,1891,742,1708,901,1891,1113,2135,93,186,77,168,93,186,115,210,5,77,20,80,0,0,1,2,-1,-1,-1,-1,-1,-1,100294
多利诺布斯,431,211,12,4.5,4,26,21,26,12,7,0,0,0,0,0,0,1,0,0,6,9,-1,50,95,7,17,9,19,3,10,768,1672,608,1452,768,1672,320,1056,122,212,96,184,122,212,51,134,3,85,0,30,70,0,1,2,-1,-1,-1,-1,-1,-1,100335
尼可斯,432,62,18,4.5,4,24,20,20,17,9,0,0,0,0,0,0,0,3,0,6,9,-1,56,103,8,18,8,18,5,14,836,1800,684,1600,684,1600,570,1450,116,208,95,185,95,185,79,168,4,81,40,60,0,0,1,2,-1,-1,-1,-1,-1,-1,100276
布伊比,433,14,16,4.5,4,32,26,15,18,5,0,0,0,0,0,0,2,0,0,1,1,-1,29,38,4,7,3,5,2,4,480,704,384,608,208,432,256,480,147,237,117,205,63,145,78,162,2,91,0,40,60,0,1,3,-1,-1,-1,-1,-1,-1,100257
布伊比,434,14,16,4.5,4,32,26,15,18,5,0,0,0,0,0,0,2,0,0,8,10,-1,80,125,13,22,8,17,7,15,1320,2288,1056,1976,572,1404,704,1560,147,237,117,205,63,145,78,162,2,91,0,40,60,0,1,3,-1,-1,-1,-1,-1,-1,100257
乌宝宝,435,31,13,4.5,4,17,20,10,32,11,0,0,0,0,0,0,0,1,0,10,12,-1,61,104,10,20,6,15,14,25,735,1653,882,1824,392,1254,1470,2508,82,174,99,192,44,132,165,264,5,79,30,0,0,70,1,2,-1,-1,-1,-1,-1,-1,100263
威威,436,32,15,4.5,4,18,21,7,33,11,0,0,0,0,0,0,0,1,0,10,12,-1,65,110,11,22,5,14,15,26,816,1770,969,1947,255,1121,1581,2655,88,180,104,198,27,114,170,270,5,79,0,0,60,40,1,2,-1,-1,-1,-1,-1,-1,100264
乌卡鲁,437,33,17,4.5,4,23,19,11,26,11,0,0,0,0,0,0,0,1,0,10,12,-1,76,123,11,22,7,17,12,23,1113,2135,901,1891,477,1403,1272,2318,115,210,93,186,49,138,132,228,5,79,30,70,0,0,1,2,-1,-1,-1,-1,-1,-1,100265
海主人,438,243,21,4.5,4,34,19,26,9,7,0,0,0,0,0,0,0,0,0,1,1,-1,39,51,4,7,6,9,1,4,672,966,357,651,504,798,147,441,163,257,86,173,122,212,35,117,3,88,20,80,0,0,1,2,110,-1,-1,-1,-1,-1,100349
海主人,439,243,21,4.5,4,34,19,26,9,7,0,0,0,0,0,0,0,0,0,18,20,-1,165,236,20,36,26,42,6,20,2848,4462,1513,3007,2136,3686,623,2037,163,257,86,173,122,212,35,117,3,88,20,80,0,0,1,2,110,-1,-1,-1,-1,-1,100349
加克拉,442,222,22,4.5,4,26,30,14,16,7,0,0,0,0,0,0,5,0,0,1,1,-1,35,47,7,10,4,7,3,6,528,836,616,924,264,572,308,616,122,212,142,235,61,145,71,156,3,86,0,50,50,0,1,-1,-1,-1,-1,-1,-1,-1,100340
加克拉,443,222,22,4.5,4,26,30,14,16,7,0,0,0,0,0,0,5,0,0,18,22,-1,144,231,29,50,16,34,12,29,2160,4028,2520,4452,1080,2756,1260,2968,122,212,142,235,61,145,71,156,3,86,0,50,50,0,1,-1,-1,-1,-1,-1,-1,-1,100340
加格,446,223,23,4.5,4,30,27,13,16,7,0,0,0,0,0,0,5,0,0,1,1,-1,39,52,6,10,4,7,3,6,644,966,575,897,253,575,322,644,142,235,127,218,56,140,71,156,3,86,0,100,0,0,1,50,-1,-1,-1,-1,-1,-1,100341
加格,447,223,23,4.5,4,30,27,13,16,7,0,0,0,0,0,0,5,0,0,18,22,-1,156,246,27,47,15,34,12,29,2548,4494,2275,4173,1001,2675,1274,2996,142,235,127,218,56,140,71,156,3,86,0,100,0,0,1,50,-1,-1,-1,-1,-1,-1,100341
乌力乌力,450,2,20,4.5,4,22,23,11,23,11,0,0,0,0,0,0,1,1,0,20,30,-1,135,270,24,54,14,39,20,47,1920,4624,2016,4760,864,3128,2016,4760,110,204,115,210,49,138,115,210,5,79,0,40,60,0,1,2,-1,-1,-1,-1,-1,-1,100251
威伯,451,34,20,4.5,4,17,18,15,29,11,0,0,0,0,0,0,0,1,0,20,30,-1,120,250,19,47,17,44,25,55,1440,3944,1536,4080,1248,3672,2592,5576,82,174,88,180,71,162,148,246,5,79,60,0,0,40,1,2,-1,-1,-1,-1,-1,-1,100266
克克尔,452,102,20,4.5,4,20,18,17,24,11,0,0,0,0,0,0,0,1,0,20,30,-1,129,262,20,48,19,46,21,48,1728,4352,1536,4080,1440,3944,2112,4896,99,192,88,180,82,174,121,216,5,79,0,70,30,0,1,2,-1,-1,-1,-1,-1,-1,100292
凯比,453,112,20,4.5,4,14,19,19,27,11,0,0,0,0,0,0,2,0,0,20,30,-1,112,238,20,49,20,49,24,53,1152,3536,1632,4216,1632,4216,2400,5304,66,156,93,186,93,186,137,234,5,79,20,0,0,80,1,2,-1,-1,-1,-1,-1,-1,100296
加美,455,21,22,4.5,4,22,23,19,23,7,0,0,0,0,0,0,0,1,0,1,1,-1,32,45,5,8,4,8,4,7,440,748,462,770,374,682,462,770,102,190,107,196,86,173,107,196,3,87,0,0,60,40,1,2,-1,-1,-1,-1,-1,-1,100259
加美,456,21,22,4.5,4,22,23,19,23,7,0,0,0,0,0,0,0,1,0,25,28,-1,175,269,30,52,26,48,24,45,2360,4420,2478,4550,2006,4030,2478,4550,102,190,107,196,86,173,107,196,3,87,0,0,60,40,1,2,-1,-1,-1,-1,-1,-1,100259
加比,457,22,20,4.5,4,21,22,18,28,7,20,0,0,0,0,0,0,1,0,1,1,-1,29,41,5,7,4,7,5,8,380,660,400,680,320,600,520,800,96,184,102,190,81,168,132,224,3,89,50,0,0,50,1,60,-1,-1,-1,-1,-1,-1,100260
加比,458,22,20,4.5,4,21,22,18,28,7,20,0,0,0,0,0,0,1,0,28,30,-1,189,280,32,54,27,49,33,54,2432,4488,2560,4624,2048,4080,3328,5440,96,184,102,190,81,168,132,224,3,89,50,0,0,50,1,60,-1,-1,-1,-1,-1,-1,100260
鲍,459,183,17,4.5,4,16,23,20,28,7,0,0,0,0,0,0,0,1,0,1,1,-1,22,32,4,6,3,6,4,6,238,476,357,595,306,544,442,680,71,156,107,196,91,179,132,224,3,87,20,0,0,80,1,2,-1,-1,-1,-1,-1,-1,100325
鲍,460,183,17,4.5,4,16,23,20,28,7,0,0,0,0,0,0,0,1,0,10,13,-1,69,122,13,26,12,24,13,26,742,1820,1113,2275,954,2080,1378,2600,71,156,107,196,91,179,132,224,3,87,20,0,0,80,1,2,-1,-1,-1,-1,-1,-1,100325
鲍,461,183,17,4.5,4,16,23,20,28,7,0,0,0,0,0,0,0,1,0,12,15,-1,79,137,15,29,14,27,15,29,854,2044,1281,2555,1098,2336,1586,2920,71,156,107,196,91,179,132,224,3,87,20,0,0,80,1,2,-1,-1,-1,-1,-1,-1,100325
卡拉卡利,462,184,17,4.5,4,15,23,23,26,7,0,0,0,0,0,0,0,1,0,1,1,-1,21,31,4,6,4,6,4,6,221,459,357,595,357,595,408,646,66,151,107,196,107,196,122,212,3,87,70,0,0,30,1,2,-1,-1,-1,-1,-1,-1,100326
卡拉卡利,463,184,17,4.5,4,15,23,23,26,7,0,0,0,0,0,0,0,1,0,10,13,-1,67,120,13,26,13,26,12,24,689,1755,1113,2275,1113,2275,1272,2470,66,151,107,196,107,196,122,212,3,87,70,0,0,30,1,2,-1,-1,-1,-1,-1,-1,100326
卡拉卡利,464,184,17,4.5,4,15,23,23,26,7,0,0,0,0,0,0,0,1,0,12,15,-1,78,135,15,29,15,29,14,27,793,1971,1281,2555,1281,2555,1464,2774,66,151,107,196,107,196,122,212,3,87,70,0,0,30,1,2,-1,-1,-1,-1,-1,-1,100326
卡拉宝斯,465,172,19,4.5,4,28,23,26,14,5,0,0,0,0,0,0,0,5,0,1,1,-1,32,43,5,7,5,8,2,4,494,760,399,665,456,722,228,494,127,216,102,189,117,205,58,140,2,91,30,70,0,0,1,2,-1,-1,-1,-1,-1,-1,100320
卡拉宝斯,466,172,19,4.5,4,28,23,26,14,5,0,0,0,0,0,0,0,5,0,10,13,-1,94,153,14,27,16,29,6,17,1430,2680,1155,2345,1320,2546,660,1742,127,216,102,189,117,205,58,140,2,91,30,70,0,0,1,2,-1,-1,-1,-1,-1,-1,100320
卡拉宝斯,467,172,19,4.5,4,28,23,26,14,5,0,0,0,0,0,0,0,5,0,12,14,-1,107,162,17,29,18,31,7,18,1638,2840,1323,2485,1512,2698,756,1846,127,216,102,189,117,205,58,140,2,91,30,70,0,0,1,2,-1,-1,-1,-1,-1,-1,100320
卡拉宝斯,468,172,19,4.5,4,28,23,26,14,5,0,0,0,0,0,0,0,5,0,13,15,-1,114,171,18,31,19,33,8,19,1742,3000,1407,2625,1608,2850,804,1950,127,216,102,189,117,205,58,140,2,91,30,70,0,0,1,2,-1,-1,-1,-1,-1,-1,100320
可利多洛斯,469,333,19,4.5,4,24,20,22,20,7,0,0,0,0,0,0,1,0,0,1,1,-1,29,40,4,7,4,7,3,6,418,684,342,608,380,646,342,608,112,201,91,179,102,190,91,179,3,86,70,30,0,0,1,2,-1,-1,-1,-1,-1,-1,100386
可利多洛斯,470,333,19,4.5,4,24,20,22,20,7,0,0,0,0,0,0,1,0,0,10,13,-1,84,142,12,25,13,26,9,21,1210,2412,990,2144,1100,2278,990,2144,112,201,91,179,102,190,91,179,3,86,70,30,0,0,1,2,-1,-1,-1,-1,-1,-1,100386
可利多洛斯,471,333,19,4.5,4,24,20,22,20,7,0,0,0,0,0,0,1,0,0,12,14,-1,97,150,14,27,16,28,11,22,1386,2556,1134,2272,1260,2414,1134,2272,112,201,91,179,102,190,91,179,3,86,70,30,0,0,1,2,-1,-1,-1,-1,-1,-1,100386
可利多洛斯,472,333,19,4.5,4,24,20,22,20,7,0,0,0,0,0,0,1,0,0,13,15,-1,103,159,15,28,17,29,12,24,1474,2700,1206,2400,1340,2550,1206,2400,112,201,91,179,102,190,91,179,3,86,70,30,0,0,1,2,-1,-1,-1,-1,-1,-1,100386
黑乌力,475,5,20,4.5,4,22,22,24,27,-1,0,0,0,0,0,0,10,10,1,1,1,-1,31,43,5,8,5,8,5,7,400,680,400,680,440,720,500,780,94,176,94,176,103,187,117,202,1,95,50,0,0,50,1,2,-1,-1,-1,-1,-1,-1,100388
柏克尔,476,65,19,4.5,4,21,22,19,23,7,0,0,0,0,0,0,0,3,0,1,1,-1,27,38,4,7,4,7,3,6,361,627,380,646,323,589,399,665,96,184,102,190,86,173,107,196,3,85,0,0,20,80,1,2,-1,-1,-1,-1,-1,-1,100393
洛克斯,477,85,20,4.5,4,19,27,43,10,-1,0,0,0,30,0,0,1,0,1,1,1,-1,30,42,6,9,9,12,1,4,340,620,500,780,820,1100,160,440,79,161,117,202,192,286,37,114,1,99,50,0,0,50,1,2,-1,-1,-1,-1,-1,-1,100389
阿伊萨,478,86,22,4.5,4,27,19,37,6,7,0,0,0,0,0,0,1,0,0,1,1,-1,36,49,5,8,8,11,0,3,550,858,374,682,770,1078,88,396,127,218,86,173,178,274,20,100,3,89,50,50,0,0,1,2,-1,-1,-1,-1,-1,-1,100390
格洛格鲁,479,87,22,4.5,4,28,24,31,6,7,0,0,0,0,0,0,1,0,0,1,1,-1,37,49,6,9,7,10,0,3,572,880,484,792,638,946,88,396,132,224,112,201,147,240,20,100,3,89,0,60,40,0,1,2,-1,-1,-1,-1,-1,-1,100391
朵洛将恩,480,88,20,4.5,4,25,20,36,12,5,0,0,0,0,0,0,1,0,0,1,1,-1,32,44,4,7,7,10,2,4,460,740,360,640,680,960,200,480,112,199,88,172,166,259,49,129,2,93,20,0,0,80,1,2,-1,-1,-1,-1,-1,-1,100392
布鲁顿,481,95,25,4.5,4,25,35,14,24,3,0,0,0,0,0,0,5,0,0,1,1,-1,42,56,9,13,4,8,5,9,575,925,825,1175,300,650,550,900,108,192,155,244,56,135,103,187,1,98,0,0,20,80,1,2,-1,-1,-1,-1,-1,-1,100394
布鲁宝,482,175,20,4.5,4,23,25,24,20,5,0,0,0,0,0,0,0,5,0,1,1,-1,31,43,5,8,5,8,3,6,420,700,460,740,440,720,360,640,102,189,112,199,107,194,88,172,2,92,0,0,40,60,1,2,-1,-1,-1,-1,-1,-1,100395
邦恩多斯,483,255,28,4.5,4,37,30,27,10,1,0,0,0,0,0,0,5,0,0,1,1,-1,59,75,9,13,9,13,2,6,980,1372,784,1176,700,1092,224,616,157,245,126,210,112,195,36,110,0,104,0,0,20,80,1,2,-1,-1,-1,-1,-1,-1,100396
邦达霍恩,484,315,30,4.5,4,20,28,20,32,-3,5,5,5,5,5,5,0,5,2,1,1,-1,46,64,9,13,7,11,9,13,540,960,780,1200,540,960,900,1320,81,160,117,200,81,160,135,220,0,100,0,0,50,50,1,2,-1,-1,-1,-1,-1,-1,100430
卡梅兰恩,499,53,12,4.5,4,20,21,33,10,9,0,0,0,0,0,0,0,0,0,1,1,-1,16,23,2,4,4,6,0,2,216,384,228,396,372,540,96,264,95,185,100,191,164,261,42,127,4,84,0,0,80,20,1,2,10,-1,-1,-1,-1,-1,100273
卡梅兰恩,500,53,12,4.5,4,20,21,33,10,9,0,0,0,0,0,0,0,0,0,140,180,-1,795,1441,140,286,202,364,45,160,10224,23296,10792,24024,17608,32760,4544,16016,95,185,100,191,164,261,42,127,4,84,0,0,80,20,1,2,10,-1,-1,-1,-1,-1,100273
卡梅兰恩,501,53,12,4.5,4,20,21,33,10,9,0,0,0,0,0,0,0,0,0,140,188,-1,795,1504,140,298,202,380,45,167,10224,24320,10792,25080,17608,34200,4544,16720,95,185,100,191,164,261,42,127,4,84,0,0,80,20,1,2,10,-1,-1,-1,-1,-1,100273
石龟,502,54,20,4.5,4,21,19,41,8,7,0,0,-20,65,0,0,0,0,0,1,1,-1,29,41,4,7,8,11,1,4,380,660,340,620,780,1060,120,400,96,184,86,173,198,296,30,112,3,89,90,0,0,10,1,2,80,-1,-1,-1,-1,-1,100274
石龟,503,54,20,4.5,4,21,19,41,8,7,0,0,-20,65,0,0,0,0,0,140,180,-1,852,1516,135,280,249,426,34,147,10944,24288,9792,22816,22464,39008,3456,14720,96,184,86,173,198,296,30,112,3,89,90,0,0,10,1,2,80,-1,-1,-1,-1,-1,100274
石龟,504,54,20,4.5,4,21,19,41,8,7,0,0,-20,65,0,0,0,0,0,140,190,-1,852,1598,135,295,249,449,34,155,10944,25608,9792,24056,22464,41128,3456,15520,96,184,86,173,198,296,30,112,3,89,90,0,0,10,1,2,80,-1,-1,-1,-1,-1,100274
卡达鲁卡斯,505,81,22,4.5,4,25,23,40,6,5,0,0,0,0,0,0,1,0,0,1,1,-1,36,49,6,9,9,12,0,3,506,814,462,770,836,1144,88,396,112,199,102,189,186,280,19,97,2,94,100,0,0,0,1,2,-1,-1,-1,-1,-1,-1,100283
卡达鲁卡斯,506,81,22,4.5,4,25,23,40,6,5,0,0,0,0,0,0,1,0,0,10,11,-1,95,138,16,26,24,35,2,11,1334,2294,1218,2170,2204,3224,232,1116,112,199,102,189,186,280,19,97,2,94,100,0,0,0,1,2,-1,-1,-1,-1,-1,-1,100283
